"","Comparison","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name","diffexpressed"
"ENSMUSG00000060510","S2_vs_S1",237.858867675949,1.38042407143807,0.389777565579895,3.54156881601004,0.000397755089612098,0.0417697473692415,"Zfp266","UP"
"ENSMUSG00000033629","S2_vs_S1",187.535401825449,-1.731397237463,0.440188166020962,-3.93331164059633,8.3783497994843e-05,0.016533727386563,"Hacd3","DOWN"
"ENSMUSG00000064380","S2_vs_S1",31.1538001240313,7.38770637264906,1.98542915404483,3.72096196814598,0.000198465328819649,0.0292631709831882,"Gm26448","UP"
"ENSMUSG00000082715","S2_vs_S1",28.9742545871178,-8.4489907959713,2.20200920536649,-3.83694617414876,0.000124573762545028,0.0224141174226237,NA,"DOWN"
"ENSMUSG00000020901","S2_vs_S1",1950.54782083511,0.614399508758089,0.159892896354054,3.84256913701538,0.00012175310132978,0.0222335700711918,"Pik3r5","UP"
"ENSMUSG00000041346","S2_vs_S1",27.3589581759129,-8.24862238150448,2.28324877668384,-3.61266913432214,0.00030306130331579,0.037079550460687,"Wrap53","DOWN"
"ENSMUSG00000020733","S2_vs_S1",224.848943768564,1.68585787451494,0.473352856505217,3.56152466673951,0.000368707460634902,0.0402779980434645,"Nherf1","UP"
"ENSMUSG00000017405","S2_vs_S1",29.7270497299306,-8.37396835717678,2.37188418350768,-3.53051317404244,0.000414754360164595,0.0423011119774502,"Nek8","DOWN"
"ENSMUSG00000020380","S2_vs_S1",371.406985784517,1.15621116487688,0.306627086984378,3.77074046604299,0.000162763879678117,0.0268943565238924,"Rad50","UP"
"ENSMUSG00000078920","S2_vs_S1",56.1340376807757,4.43480171323958,1.27233337273823,3.48556581809631,0.000491097392714818,0.0473116267705968,"Ifi47","UP"
"ENSMUSG00000095105","S2_vs_S1",30.1254626558359,-7.77104364125767,2.1678817838915,-3.58462518528483,0.000337562626587156,0.0397122955412871,"Edaradd","DOWN"
"ENSMUSG00000099583","S2_vs_S1",62.6471468638971,4.32672065069739,1.21761828408871,3.5534294345256,0.00038024319486604,0.0411705795503186,"H3c4","UP"
"ENSMUSG00000120328","S2_vs_S1",50.1138690291826,8.26260426754851,1.85571131811257,4.45252674104092,8.48656671762537e-06,0.00519165718950732,NA,"UP"
"ENSMUSG00000110393","S2_vs_S1",31.15714372669,8.07237209250357,2.14876584607847,3.75674813858187,0.000172135583145618,0.0271932396737103,NA,"UP"
"ENSMUSG00000061603","S2_vs_S1",82.9950439623564,-4.46901427522425,1.10950140031403,-4.02794829637831,5.62657128159871e-05,0.0134982548294824,"Akap6","DOWN"
"ENSMUSG00000113328","S2_vs_S1",59.4845531591454,4.27856542611736,1.21397398008086,3.52442926810704,0.000424396102956177,0.0429131100799076,NA,"UP"
"ENSMUSG00000021065","S2_vs_S1",135.432329342122,1.79742773244019,0.504186280890312,3.56500722166859,0.000363846170113202,0.0402779980434645,"Fut8","UP"
"ENSMUSG00000020634","S2_vs_S1",76.4649443837945,-4.36398156302306,1.08202012594693,-4.03317965939306,5.50271766394391e-05,0.0134651501236708,"Ubxn2a","DOWN"
"ENSMUSG00000119895","S2_vs_S1",2444.33098213812,-0.664869989191702,0.163948889978893,-4.05534913519267,5.0059473987469e-05,0.0127740798870845,"Gm22513","DOWN"
"ENSMUSG00000039828","S2_vs_S1",120.72702305559,-2.30773688290139,0.629576576840757,-3.66553802633782,0.000246819131652535,0.0343637490891216,"Wdr70","DOWN"
"ENSMUSG00000115161","S2_vs_S1",29.8193127617577,-7.61535734521257,2.20075472836755,-3.46033896783282,0.000539495802623271,0.0498686508038612,NA,"DOWN"
"ENSMUSG00000016664","S2_vs_S1",436.734220490429,-0.969019967175428,0.270179784223774,-3.58657465790573,0.000335050169257181,0.0397122955412871,"Pacsin2","DOWN"
"ENSMUSG00000022604","S2_vs_S1",37.2369922996968,-8.69399077806248,2.00066873243699,-4.34554238645616,1.38931939799618e-05,0.00705989801966349,"Cep97","DOWN"
"ENSMUSG00000097290","S2_vs_S1",30.8691224736565,8.42095865811298,2.20759269092904,3.81454363964628,0.000136434826639429,0.0241924652743973,"1300002E11Rik","UP"
"ENSMUSG00000013089","S2_vs_S1",190.235741408976,1.5136977225648,0.416358237961473,3.63556568491595,0.000277371305300313,0.0356623985322017,"Etv5","UP"
"ENSMUSG00000116875","S2_vs_S1",50.3218915465761,-4.71520541260779,1.19178109829578,-3.95643580801073,7.60763186929661e-05,0.0157761654103126,NA,"DOWN"
"ENSMUSG00000022956","S2_vs_S1",71.7374091826769,4.45546696853973,1.07779461745833,4.13387383493033,3.56699337265112e-05,0.0114847799774701,"Atp5po","UP"
"ENSMUSG00000034709","S2_vs_S1",254.974627385553,-1.40742288777934,0.385495105749529,-3.65094878453217,0.000261273341743061,0.0355186592914039,"Ppp1r21","DOWN"
"ENSMUSG00000023908","S2_vs_S1",86.5870889038585,-3.52241700455203,0.941708860553929,-3.74045222690172,0.000183689458774607,0.0280930066013414,"Pkmyt1","DOWN"
"ENSMUSG00000015461","S2_vs_S1",106.314409220394,2.03703328254848,0.58890053098376,3.45904473739498,0.00054209485548946,0.0498686508038612,"Atf6b","UP"
"ENSMUSG00000024194","S2_vs_S1",56.3718491263409,5.12481081126273,1.12732835293191,4.54597881614024,5.46805362091065e-06,0.00418135225324011,"Cuta","UP"
"ENSMUSG00000023913","S2_vs_S1",1632.85087958828,0.765656203838477,0.183809526862439,4.1654870501434,3.10688559870274e-05,0.0106713037331501,"Pla2g7","UP"
"ENSMUSG00000103207","S2_vs_S1",33.0245122154294,7.66574356057322,2.11141072540131,3.63062641879695,0.0002827341771658,0.0356623985322017,NA,"UP"
"ENSMUSG00000008668","S2_vs_S1",616.501370888977,1.3686441483473,0.299677706588224,4.56705359877805,4.94627567805007e-06,0.00418135225324011,"Rps18","UP"
"ENSMUSG00000121111","S2_vs_S1",25.4449833642226,-8.15040163559003,2.3303223272023,-3.49754261050019,0.000469565694037774,0.0463317440850981,NA,"DOWN"
"ENSMUSG00000073411","S2_vs_S1",3986.49175324732,0.493526536950794,0.13586714248369,3.63242008280287,0.00028077554675688,0.0356623985322017,"H2-D1","NO"
"ENSMUSG00000007038","S2_vs_S1",297.369723261244,-1.15490158913363,0.331666110367967,-3.48212118462247,0.000497458510833089,0.0475500381253347,"Neu1","DOWN"
"ENSMUSG00000042099","S2_vs_S1",40.1400775813549,-8.48742931106188,1.94716678870284,-4.358860966767,1.30741136458881e-05,0.00705989801966349,"Kank3","DOWN"
"ENSMUSG00000036941","S2_vs_S1",102.968966932898,2.64349351830043,0.699805554857305,3.77746861246258,0.000158430464071237,0.0268943565238924,"Elac1","UP"
"ENSMUSG00000050945","S2_vs_S1",50.4023953122643,-5.15808948617208,1.32001194551421,-3.90760818771437,9.32143064324313e-05,0.0178199537375125,"Zfp438","DOWN"
"ENSMUSG00000024576","S2_vs_S1",1174.93070161612,0.698858247674977,0.192151907145672,3.63700916663381,0.000275822118852197,0.0356623985322017,"Csnk1a1","UP"
"ENSMUSG00000041731","S2_vs_S1",38.5828239892669,-8.45093275309028,2.06389741694115,-4.09464767178941,4.22810858469495e-05,0.0126172947643275,"Pgm5","DOWN"
"ENSMUSG00000025192","S2_vs_S1",287.35592532812,-1.34668526376551,0.332492861067807,-4.05026820558074,5.11589631767175e-05,0.0127740798870845,"Entpd7","DOWN"
"ENSMUSG00000025035","S2_vs_S1",37.4423487872032,7.93906943318106,1.99689282888884,3.97571132427708,7.01692017770767e-05,0.014802072133492,"Arl3","UP"
"ENSMUSG00000024981","S2_vs_S1",505.441082910986,-1.18646554491973,0.280685024464513,-4.22703543654763,2.3679038770628e-05,0.00965710131195447,"Acsl5","DOWN"
"ENSMUSG00000025209","S2_vs_S1",41.0372947284364,-6.89622473893803,1.94375836262699,-3.54788170769219,0.000388342591611987,0.0416786983190585,"Twnk","DOWN"
"ENSMUSG00000059326","S2_vs_S1",2907.80901751481,0.485056278348775,0.135767032859396,3.57271031216475,0.000353305531756809,0.0399500632674837,"Csf2ra","NO"
"ENSMUSG00000056201","S2_vs_S1",7987.31365914061,0.414760619248449,0.116430034569889,3.56231637979531,0.000367597006493067,0.0402779980434645,"Cfl1","NO"
"ENSMUSG00000064337","S2_vs_S1",1061680.11691136,-0.390860702663483,0.0978692252588711,-3.99370385971309,6.50491002058439e-05,0.0144246267112836,NA,"NO"
"ENSMUSG000000736161","S3_vs_S1",53.1179346850092,8.74000887071759,1.86483229036195,4.68675328923076,2.77573235530156e-06,0.00415006683772024,NA,"UP"
"ENSMUSG00000073702","S3_vs_S1",1027.34631896781,-0.823740534430157,0.208653188449388,-3.9478933466189,7.88419118631216e-05,0.0325182106136137,"Rpl31","DOWN"
"ENSMUSG000000337931","S3_vs_S1",828.474750755582,-0.764985474458289,0.200366216516027,-3.81793641542908,0.000134572596332368,0.0445077495756059,NA,"DOWN"
"ENSMUSG00000086484","S3_vs_S1",34.6944345495651,-8.22762409536333,2.07184672523075,-3.97115481332095,7.15250791229163e-05,0.0305539811210429,"Nron","DOWN"
"ENSMUSG000000403211","S3_vs_S1",98.5056585464501,2.93688678929419,0.654157436169831,4.48957181697728,7.13664837388347e-06,0.00776013192727456,NA,"UP"
"ENSMUSG00000078866","S3_vs_S1",63.9466527375529,-4.39107382018163,1.15302235057676,-3.80831630712548,0.000139916227074406,0.0445077495756059,"Zfp970","DOWN"
"ENSMUSG000000842131","S3_vs_S1",34.5176823199719,8.56299510301781,2.056220901383,4.16443345034495,3.12126649393193e-05,0.0162319428408347,NA,"UP"
"ENSMUSG00000006678","S3_vs_S1",196.490772259993,-2.62446546331712,0.51226136836206,-5.12329374301397,3.00244050095822e-07,0.00119707302773204,"Pola1","DOWN"
"ENSMUSG00000035847","S3_vs_S1",1043.14258873658,0.849560092710633,0.21860953842608,3.88619864817976,0.000101826192133325,0.0392884865840871,"Ids","UP"
"ENSMUSG00000028111","S3_vs_S1",286.591619522609,-1.74273996234744,0.390054417579205,-4.46794058419696,7.89762331863679e-06,0.00787195604285122,"Ctsk","DOWN"
"ENSMUSG00000042312","S3_vs_S1",30.657303926472,-8.36256986607423,2.20653683444634,-3.7899072136598,0.000150703567569231,0.0462196249152711,"S100a13","DOWN"
"ENSMUSG00000028902","S3_vs_S1",161.689011498604,-1.98784071505598,0.4600860691624,-4.32058444776408,1.55616487021988e-05,0.00979646737510524,"Sf3a3","DOWN"
"ENSMUSG000000290751","S3_vs_S1",35.549849451035,7.89171804609408,2.05920345705072,3.83241297457656,0.000126892493281074,0.0445077495756059,NA,"UP"
"ENSMUSG00000038690","S3_vs_S1",133.014709488756,-2.98714089026756,0.574469843464823,-5.19982193016625,1.99479542495484e-07,0.00119298740389424,"Atp5mf","DOWN"
"ENSMUSG00000107168","S3_vs_S1",29.5613912750834,-8.46593053853552,2.22453664371482,-3.80570513974453,0.000141400759457656,0.0445077495756059,NA,"DOWN"
