,Test_Sample1,Test_Sample2,Test_Sample3,Control_Sample1,Control_Sample2,Control_Sample3
ENSMUSG00000032883,9.10634535456631,8.95315928076635,9.09636211427627,9.10642876632683,9.3683976201368,9.06029359880469
ENSMUSG00000026480,10.2172283996637,10.5317571887034,10.4617742731215,10.6881951109517,10.6442074536527,10.4787611815827
ENSMUSG00000025915,9.47958406252851,9.55158878757888,9.55884898454829,9.71342686200903,9.60663287828205,9.48809157299493
ENSMUSG00000079470,9.30826260885001,9.11552503046124,9.22468041017003,9.38347992774336,9.43967692471975,9.28123682865668
ENSMUSG00002075801,8.51544999843199,8.51544999843199,8.51544999843199,8.71482133285137,8.51544999843199,8.68617298445554
ENSMUSG00000055067,8.92542992991267,8.91724708978586,8.82572289661655,8.83421740565275,8.79731352678517,8.89894465819557
ENSMUSG00000054702,8.7488479148772,9.15588722549037,9.29458830133174,8.79109673842322,8.72201204533028,9.11605887995528
ENSMUSG00000102235,8.78575637258463,8.63485949049226,8.55165737184272,8.51544999843199,8.65229864153117,8.67216880374703
ENSMUSG00000026492,8.97516997281126,8.76224532865091,8.70896932127142,9.13428759969863,9.15539484867957,9.02268314880308
ENSMUSG00000038949,8.87876162443053,8.93286710452998,8.93637896480483,8.63046025959133,8.85090672508769,8.99488505443633
ENSMUSG00000046101,8.71627719441547,8.51544999843199,8.51544999843199,8.6575029033725,8.51544999843199,8.51544999843199
ENSMUSG00000038936,8.71627719441547,8.67202319282297,8.51544999843199,8.64426587367066,8.91867539578972,8.65773136429486
ENSMUSG00000042772,9.90175454432131,9.99543868402745,9.86030672464226,9.77115910671263,9.50684289597837,9.74118931717508
ENSMUSG00000100394,8.64998858431547,8.51544999843199,8.65187603023146,8.73047104872231,8.51544999843199,8.51544999843199
ENSMUSG00000073643,9.20494803522115,9.30240072496698,9.10952211573726,8.88160690647782,9.35225272459192,9.19457925100114
ENSMUSG00000026248,8.51544999843199,8.61864035444542,8.73063211647992,8.51544999843199,8.51544999843199,8.63100422717656
ENSMUSG00000026491,9.72270268237703,9.60104180977144,9.42220910568692,9.78458975121471,9.66205779243388,9.84659459118422
ENSMUSG00000025917,9.08099991697068,8.84806875331915,8.99058435172739,8.90731321162958,9.06159649385182,8.99014774521445
ENSMUSG00000004364,9.83943175416876,9.64642481598186,9.8241179761694,9.6583786557749,9.9628188041443,9.79952136093721
ENSMUSG00000103076,8.71627719441547,8.76544888706568,8.7650292566436,8.92904369603153,8.83785388252997,8.51544999843199
ENSMUSG00000103525,8.51544999843199,8.54118924915507,8.6094443099147,8.51544999843199,8.7108509910316,8.51544999843199
ENSMUSG00000026478,9.50510061569934,9.5759446148627,9.42332131968664,9.43085454431016,9.48534224810254,9.62421839194687
ENSMUSG00000079138,8.64057794192265,8.51544999843199,8.63633502761765,8.6575029033725,8.51544999843199,8.51544999843199
ENSMUSG00000042708,8.51544999843199,8.51544999843199,8.51544999843199,8.5946402731757,8.67254815964715,8.61449086238697
ENSMUSG00000042699,10.1424999584152,10.0800851019405,9.95944616083592,10.1751603805614,10.0884188107206,9.92804183298039
ENSMUSG00000042684,8.55798540859718,8.67906491172021,8.69241183549559,8.51544999843199,8.80421045328406,8.51544999843199
ENSMUSG00000025986,9.53114280579779,9.65213236593836,9.52452495968753,9.44199911930503,9.14064134440718,9.22740352605822
ENSMUSG00000100213,8.51544999843199,8.6612532498694,8.51544999843199,8.53304627049137,8.5862492707488,8.62698152365417
ENSMUSG00000056763,9.45572019501977,9.22342269535581,9.27799432046368,9.38681356460889,9.18398325345479,9.14134201087506
ENSMUSG00000026475,8.63086861496431,8.65018921031714,8.65790061812103,8.60558765881519,8.69577419503876,8.5310341879883
ENSMUSG00000066800,8.89242141327502,9.16882590548163,8.85681423912218,9.23566225815889,8.96134075897331,8.92810423400158
ENSMUSG00000067851,10.306198523514,10.2306735944428,10.0725250093424,10.3559997203478,10.2359341863225,10.2009935668864
ENSMUSG00000102556,8.51544999843199,8.75258174805569,8.51544999843199,8.63046025959133,8.51544999843199,8.51544999843199
ENSMUSG00000038608,11.4445379106553,11.540733153192,11.6843388494184,10.9757689303477,11.0292198859347,10.961322452588
ENSMUSG00000103192,8.9811474216757,8.80314680665875,8.77541424385049,8.80933668599065,8.9417564715615,8.9228937041886
